"title","budget","genre","mpaa","runtimes","rating"
"'Master Harold' ... And the Boys","5000000","4","3","87","5.7"
"'Til There Was You","10000000","5","3","113","4.7"
"(500) Days of Summer","7500000","5","3","95","7.8"
".45","5000000","14","4","101","5.7"
"10 Things I Hate About You","16000000","5","3","97","7.2"
"10,000 BC","105000000","20","3","109","5.0"
"100 Feet","10000000","2","4","96","5.6"
"100 Mile Rule","1100000","5","4","98","5.8"
"100 Tears","75000","2","5","90","4.0"
"10th & Wolf","8000000","14","4","107","6.4"
"11:14","6000000","5","4","85","7.2"
"12","4000000","14","3","159","7.8"
"12 and Holding","400000","4","4","94","7.6"
"12 Rounds","22000000","20","3","108","5.6"
"12 Years a Slave","20000000","11","4","134","8.1"
"127 Hours","18000000","13","4","94","7.6"
"13 Going on 30","37000000","5","3","98","6.1"
"13 Moons","2000000","5","4","93","5.8"
"13 Sins","4000000","5","4","93","6.2"
"1408","25000000","2","3","104","6.8"
"1492: Conquest of Paradise","40000000","13","3","154","6.5"
"15 Minutes","42000000","20","4","120","6.1"
"16 Blocks","52000000","20","3","110","6.6"
"17 Again","20000000","5","3","102","6.4"
"1776","4000000","4","2","142","7.6"
"2 Days in New York","8000000","5","4","96","6.0"
"2 Fast 2 Furious","76000000","20","3","107","5.8"
"2 Guns","61000000","20","4","109","6.8"
"20 Dates","60000","11","4","87","5.3"
"20 Years After","1000000","4","4","95","3.3"
"200 Cigarettes","6000000","5","4","101","5.8"
"2001 Maniacs","3000000","5","4","87","5.4"
"2001: A Space Travesty","45000000","5","4","99","3.2"
"2009: Lost Memories","7000000","20","4","136","6.2"
"2012","200000000","20","3","158","5.8"
"2016: Obama's America","2500000","1","2","87","5.1"
"2046","12000000","4","4","129","7.5"
"21 & Over","13000000","5","4","93","5.9"
"21","35000000","11","3","123","6.8"
"21 and a Wake-Up","3000000","4","4","123","6.1"
"21 Grams","20000000","14","4","124","7.7"
"21 Jump Street","42000000","20","4","109","7.2"
"22 Jump Street","50000000","20","4","112","7.1"
"23:59","600000","2","4","78","5.0"
"24 cuadros de terror","1000000","2","4","90","4.9"
"247°F","650000","2","4","90","5.0"
"25th Hour","15000000","14","4","135","7.7"
"27 Dresses","30000000","5","3","111","6.1"
"28 Days","43000000","5","3","103","6.0"
"28 Days Later...","8000000","2","4","113","7.6"
"29 Palms","5000000","5","4","93","4.9"
"2BPerfectlyHonest","1500000","5","4","88","4.7"
"3 Backyards","300000","4","4","88","5.1"
"3 Days to Kill","28000000","20","3","117","6.2"
"3 Ninjas","6500000","20","2","84","5.1"
"3 Ninjas Kick Back","20000000","20","2","93","4.2"
"30 Beats","1000000","5","4","88","4.0"
"30 Days of Night","32000000","2","4","113","6.6"
"30 Minutes or Less","28000000","20","4","83","6.2"
"30 Nights of Paranormal Activity with the Devil Inside the Girl with the Dragon Tattoo","3000000","5","4","80","2.6"
"300","65000000","20","4","117","7.8"
"3000 Miles to Graceland","42000000","20","4","125","5.9"
"300: Rise of an Empire","110000000","20","4","102","6.3"
"305","250000","5","3","84","3.3"
"3:10 to Yuma","55000000","13","4","122","7.8"
"40 Days and 40 Nights","17000000","5","4","96","5.6"
"40 Point Plan","60000","4","2","91","8.6"
"42","40000000","11","3","128","7.5"
"47 Ronin","175000000","20","3","118","6.3"
"4: Rise of the Silver Surfer","130000000","20","2","92","5.6"
"5 Days of War","20000000","20","4","113","5.6"
"50 First Dates","75000000","5","3","99","6.8"
"50 to 1","10000000","4","3","110","7.8"
"50/50","8000000","5","4","100","7.7"
"51","1000000","2","4","90","3.4"
"54","13000000","4","4","93","5.8"
"6 Bullets","10000000","20","4","115","6.1"
"6 Souls","22000000","2","4","112","6.1"
"7 Below","6000000","2","4","90","3.2"
"7eventy 5ive","3000000","2","4","100","4.8"
"8 Heads in a Duffel Bag","3000000","5","4","95","5.2"
"8 Mile","41000000","4","4","110","6.9"
"8 Seconds","7000000","11","3","105","6.4"
"88 Minutes","30000000","14","4","108","5.9"
"8: The Mormon Proposition","2500000","1","4","80","7.1"
"8MM","40000000","14","4","123","6.5"
"9","30000000","20","3","79","7.1"
"9 rota","9500000","20","4","139","7.2"
"A Beautiful Mind","60000000","11","3","135","8.2"
"A Better Life","10000000","4","3","98","7.2"
"A Bronx Tale","22000000","14","4","121","7.8"
"A Christmas Carol","200000000","19","2","96","6.8"
"A Cinderella Story","20000000","5","2","95","5.8"
"A Civil Action","60000000","4","3","115","6.5"
"A Cold Day in Hell","1500000","22","3","95","2.2"
"A Crime","7000000","14","4","103","5.8"
"A Dance for Bethany","1200000","4","3","104","5.5"
"A Day Without a Mexican","1500000","5","4","100","4.7"
"A Different Loyalty","13000000","4","4","96","5.0"
"A Dirty Shame","15000000","5","5","89","5.1"
"A Dog of Flanders","7000000","4","2","96","6.3"
"A Few Good Men","40000000","4","4","138","7.6"
"A Fine Step","1000000","4","2","90","5.1"
"A Free Bird","683000","5","4","95","8.1"
"A Good Day to Die Hard","92000000","20","4","98","5.3"
"A Good Man in Africa","20000000","5","4","94","5.0"
"A Good Year","35000000","5","3","117","6.9"
"A Guy Thing","20000000","5","3","101","5.6"
"A Haunted House","2000000","5","4","86","5.0"
"A Haunted House 2","3500000","5","4","86","4.7"
"A History of Violence","32000000","14","4","96","7.5"
"A Home at the End of the World","6500000","4","4","97","6.8"
"A Home of Our Own","12000000","11","2","104","7.0"
"A Killer Within","850000","4","4","110","4.9"
"A Knight's Tale","65000000","20","3","132","6.9"
"A League of Their Own","40000000","5","2","128","7.2"
"A Life Less Ordinary","12000000","5","4","103","6.4"
"A Little Trip to Heaven","12000000","4","4","90","6.0"
"A Lonely Place to Die","4000000","20","4","99","6.3"
"A Long Way Off","500000","4","2","105","5.3"
