"title","budget","genre","mpaa","runtimes","gross"
"10,000 BC","105000000","20","3","109","8312279"
"12 Years a Slave","20000000","11","4","134","56671993"
"127 Hours","18000000","13","4","94","18335230"
"13 Going on 30","37000000","5","3","98","57231747"
"1408","25000000","2","3","104","71985628"
"1492: Conquest of Paradise","40000000","13","3","154","7191399"
"17 Again","20000000","5","3","102","1359059"
"1776","4000000","4","2","142","6104000"
"2 Guns","61000000","20","4","109","75612460"
"2016: Obama's America","2500000","1","2","87","33449086"
"21 & Over","13000000","5","4","93","25682380"
"21","35000000","11","3","123","81159365"
"22 Jump Street","50000000","20","4","112","191719337"
"27 Dresses","30000000","5","3","111","160259319"
"28 Days","43000000","5","3","103","62198945"
"28 Days Later...","8000000","2","4","113","45064915"
"3 Ninjas","6500000","20","2","84","29000301"
"3 Ninjas Kick Back","20000000","20","2","93","11784000"
"30 Minutes or Less","28000000","20","4","83","31604"
"300","65000000","20","4","117","15007990"
"300: Rise of an Empire","110000000","20","4","102","106580051"
"3:10 to Yuma","55000000","13","4","122","53606916"
"40 Days and 40 Nights","17000000","5","4","96","37950822"
"47 Ronin","175000000","20","3","118","38362475"
"4: Rise of the Silver Surfer","130000000","20","2","92","131921738"
"50 First Dates","75000000","5","3","99","120908074"
"8 Mile","41000000","4","4","110","2428750782003"
"8 Seconds","7000000","11","3","105","19604000"
"88 Minutes","30000000","14","4","108","2532209"
"8MM","40000000","14","4","123","36663315"
"9","30000000","20","3","79","599253"
"A Beautiful Mind","60000000","11","3","135","170742341"
"A Better Life","10000000","4","3","98","1759252"
"A Bronx Tale","22000000","14","4","121","17266971"
"A Christmas Carol","200000000","19","2","96","137855863"
"A Cock and Bull Story","2800000","5","4","94","1253413"
"A Few Good Men","40000000","4","4","138","141340178"
"A Good Day to Die Hard","92000000","20","4","98","67349198"
"A Good Man in Africa","20000000","5","4","94","2308390"
"A Haunted House","2000000","5","4","86","40041683"
"A Haunted House 2","3500000","5","4","86","17329486"
"A Home of Our Own","12000000","11","2","104","1703282"
"A Knight's Tale","65000000","20","3","132","56569702"
"A League of Their Own","40000000","5","2","128","107533928"
"A Little Trip to Heaven","12000000","4","4","90","105543"
"A Low Down Dirty Shame","10000000","20","4","100","29392418"
"A Midnight Clear","5000000","4","4","108","1526697"
"A Nightmare on Elm Street","27000000","2","4","95","63075011"
"A Perfect Murder","60000000","14","4","107","67638368"
"A Perfect World","30000000","14","3","138","31160784"
"A Prairie Home Companion","10000000","5","3","105","20342852"
"A Scanner Darkly","8500000","19","4","100","57760"
"A Simple Plan","17000000","14","4","121","1525546"
"A Streetcar Named Desire","1800000","4","2","122","8000000"
"A Time to Kill","40000000","14","4","149","108766007"
"A Walk in the Clouds","20000000","4","3","102","50012507"
"Abandon","25000000","4","3","99","10727683"
"About a Boy","27000000","5","3","101","41385278"
"About Schmidt","30000000","5","4","125","65016287"
"Above the Rim","3500000","14","4","96","16036534"
"Abraham Lincoln: Vampire Hunter","69000000","20","4","105","37519139"
"Abre los ojos","370000000","4","4","117","1071874517"
"Accepted","23000000","5","3","93","36323505"
"Ace Ventura: Pet Detective","12000000","5","3","86","72217000"
"Ace Ventura: When Nature Calls","30000000","13","3","90","108385533"
"Across the Universe","45000000","4","3","133","29367143"
"Act of Valor","12000000","20","4","110","70012847"
"Adaptation.","19000000","5","4","114","524027"
"Affliction","6000000","4","4","114","80290"
"After Earth","130000000","20","3","100","60522097"
"After the Sunset","58000000","20","3","97","379482004"
"Against the Ropes","39000000","11","3","111","6614280"
"Agora","70000000","13","4","127","384220822010"
"Air Force One","85000000","20","4","124","172956409"
"Airborne","2600000","13","2","91","2850263"
"Akira","1100000000","20","4","124","1140092001"
"Alaska","23000000","13","2","109","2751750"
"Albert Nobbs","8000000","4","4","113","3014696"
"Alex Cross","35000000","20","3","101","25888412"
"Alexander","155000000","20","4","175","342971912005"
"Alfie","60000000","5","4","103","13399812"
"Ali","107000000","11","4","165","58203105"
