"ti","a1","a2","a3","a4","ci","co","ed","p1","p2","p3","p4","p5","wr"
"Fight Club","Foster, Jon","Elfman, Jenna","Jensen, Ashley","Parham, Lennon","Kennan, Wayne","Swihart, John","Beyt, Peter D.","Abbate, Andrea","Amodeo, John","Berman, Gail","Braun, Lloyd","Calandra, Vince","Kunstler, Bill"
"Fight Club","","","","","","","Olson, Dan","Ellis, Lindsay","Michaud, Michael","Olson, Dan","","","Olson, Dan"
"Fight Club","Diaz, Julien","","","","","","Diaz, Julien","Diaz, Julien","Michaud, Michael","","","","Diaz, Julien"
"Inception","Diaz, Julien","","","","","","Diaz, Julien","Diaz, Julien","Michaud, Michael","","","","Diaz, Julien"
"Inception","","","","","","","Jordan, Carl","Blond, Lisa","Brehm, Richard","Harrison, Tawny","Hillhouse, Jason","Jordan, Carl","Brehm, Richard"
"Fight Club","","","","","","","Thomas, Leon","Michaud, Michael","Thomas, Leon","","","","Thomas, Leon"
"Fight Club","Duchovny, David","Anderson, Gillian","","","Roe, Bill","Snow, Mark","MacDougall, Heather","Amann, David","Bring, Harry V.","Carter, Chris","Gilligan, Vince","Lamar, Gina","Carter, Chris"
"Fight Club","Lee, Won-jong","Yeon, Jeong-hun","Lee, Young Ah","","Kim, Tae-sung","","","Lee, Seung-Hoon","","","","","Han, Jung-hoon"
"Fight Club","Meat Loaf","Norton, Edward","Pitt, Brad","Bonham Carter, Helena","Cronenweth, Jeff","Dust Brothers","Haygood, James","Bell, Ross Grayson","Chaffin, Ceán","Dorsey, John S.","Linson, Art","Milchan, Arnon","Palahniuk, Chuck"
"Inception","DiCaprio, Leonardo","Gordon-Levitt, Joseph","Hardy, Tom","Page, Ellen","Pfister, Wally","Zimmer, Hans","Smith, Lee","Alaoui, Zakaria","Bernard, John","Brigham, Chris","Goldberg, Jordan","Hayslip, Thomas","Nolan, Christopher"
"The Matrix","Fishburne, Laurence","Reeves, Keanu","Weaving, Hugo","Moss, Carrie-Anne","Pope, Bill","Davis, Don","Staenberg, Zach","Berman, Bruce","Cracchiolo, Dan","Hughes, Carol","Mason, Andrew","Mirisch, Richard","Wachowski, Andy"
